slug,traffic
/t/lego-games-en-us,176
/t/presidential-election-en-us,175
/t/uk-general-election-en-gb,173
/t/cancelled-tv-series-en-us,172
/t/goghostagain-en-us,171
/t/white-house-en-us,171
/t/addressing-racist-history-en-us,169
/t/remove-user-en-us,168
/t/california-secession-en-us,168
/t/menendez-brothers-retrial-en-us,166
/t/daniel-larsen-en-us,166
/t/nfl-referees-en-us,164
/t/the-dark-crystal-en-us,162
/t/tekashi-6ix9ine-en-us,161
/t/fire-dak-prescott-en-us,160
/t/marchman-act-in-new-york-en-us,159
/t/serbia-en-us,159
/t/nd-miata-transmission-failure-en-us,158
/t/magic-the-gathering-en-us,158
/t/traffickinghub-en-us,156
/t/unblocked-en-us,156
/t/phi-mu-hand-sign-en-us,154
/t/discontinued-food-product-en-us,154
/t/shadow-and-bone-en-us,153
/t/cps-corruption-en-us,151
/t/flat-earth-en-us,151
/t/skibidi-toilet-en-gb,151
/t/coolmathgames-en-us,149
/t/save-splash-mountain-en-us,149
/t/liam-payne-en-us,147
/t/supreme-court-en-us,146
/t/national-roblox-day-en-us,146
/t/gangstalking-en-us,146
/t/cat-in-the-blender-video-en-au,144
/t/free-palestine-en-us,144
/t/gypsy-en-us,144
/t/justice-for-kendrick-en-us,144
/t/menendez-en-us,143
/t/election-fraud-en-us,142
/t/anonymous-en-us,139
/t/make-a-wayne-season-two-en-us,138
/t/stop-prince-chute-from-posting-for-charity-en-us,138
/t/democratic-party-en-us,137
/t/diddy-en-us,135
/t/angela-green-en-us,135
/t/tesla-en-us,135
/t/mihoyo-en-us,134
/t/fire-brad-butler-at-csi-companies-en-us,134
/t/hartz-victims-en-us,133
/t/roblox-en-us,133
/t/vaping-ban-en-us,133
/t/concord-en-us,132
/t/animal-cruelty-7,131
/t/mob-vote-en-us,131
/t/tv-shows-en-us,131
/t/due-process-en-us,130
/t/keir-starmer-en-gb,129
/t/derechos-de-la-mujer-2,129
/t/healthcare-en-us,128
/t/rfk-jr-en-us,128
/t/lego-en-us,126
/t/stop-bullying-en-us,125
/t/police-brutality-4,125
/t/doxxer-en-us,125
/t/jon-benet-ramsey-en-us,125
/t/conspiracy-theories-en-ca,124
/t/animal-rights-11,124
/t/homelessness-en-us,123
/t/dcfs-corruption-en-us,123
/t/traffic-light-request-en-us,122
/t/mujeres-en-mexico-es-419,122
/t/prison-reform,121
/t/minecraft-story-mode-en-us,121
/t/school-uniforms-en-us,121
/t/school-programs-en-us,121
/t/molly-nobiltt-en-us,121
/t/julie-and-the-phantoms-en-us,120
/t/corruption-in-child-services-en-us,120
/t/signup-en-us,120
/t/the-muppets-en-us,120
/t/unblock-music-apps-at-school-en-us,119
/t/presidential-race-2024-en-us,119
/t/directed-energy-weapons-en-us,119
/t/native-american-rights-en-us,119
/t/genshin-en-us,118
/t/fire-neal-mohan-en-us,118
/t/pit-bulls,118
/t/artificial-intelligence-en-us,117
/t/therians-in-schools-en-us,117
/t/idubbbz-en-us,115
/t/stupid-en-us,115
/t/taylor-swift-en-us,115
/t/book-banning-en-us,115
/t/crunchyroll-en-us,114
/t/terrorism-2,114
/t/monkeys,114
/t/global-warming-en-us,114
/t/clarence-thomas-en-us,113
/t/judicial-reform-en-us,112
/t/playstation-en-us,112
/t/trans-sports-en-us,112
/t/justin-baldoni-en-us,112
/t/tipping-en-us,112
/t/public-safety-concern-en-us,111
/t/tommy-sotomayor-en-us,111
/t/lgbt-rights-3,111
/t/social-media-3,110
/t/animal-abuse-advertised-en-us,110
/t/bring-back-coco-cabana-sol-de-janeiro-en-us,110
/t/prisoners-rights-en-us,109
/t/doc-mcstuffins-en-us,109
/t/merchandise-en-us,109
/t/spider-man-en-us,109
/t/peanuts-en-us,107
/t/racist-en-us,107
/t/iran-en-us,106
/t/disable-securly-en-us,106
/t/justice-en-us,106
/t/disney-plus-en-us,106
/t/dress-code-en-us,105
/t/ixl-sucks-en-us,105
/t/california-en-us,105
/t/cell-phones,105
/t/min-heejin-en-us,105
/t/avenue-5-en-us,104
/t/vote-recount-en-us,104
/t/school-safety-en-us,103
/t/ukraine,103
/t/miraculous-ladybug-en-us,103
/t/donald-trump-trial-en-us,102
/t/fleet-week-en-us,102
/t/trump-en-us,102
/t/global-social-justice-issues-en-us,102
/t/2024-president-en-us,101
/t/nombre-es-419,101
/t/crime-prevention-en-us,100
/t/call-of-duty-en-us,100
/t/wrongful-conviction-in-il-en-us,100
/t/cps-corruption-in-missouri-en-us,100
/t/scammers-en-us,99
/t/cancel-school-en-us,99
/t/school-shootings-en-us,98
/t/recall-politician-en-us,97
/t/mail-in-ballots-en-us,97
/t/onision-en-us,97
/t/youtube-ads-en-us,97
/t/sesame-street-en-us,97
/t/gaza-en-us,97
/t/reproductive-rights-en-us,96
/t/diversity-in-entertainment-media-en-us,95
/t/metoofamilycourt-en-us,95
/t/metal-detectors-in-school-en-us,95
/t/police-reform-en-us,95
/t/2024-elections-en-us,95
/t/leonard-peltier-en-us,95
/t/shirts-en-us,94
/t/defund-planned-parenthood-en-us,94
/t/george-soros-en-us,94
/t/cancel-jimmy-kimmel-live-en-us,93
/t/hoyoverse-en-us,92
/t/israel-8,92
/t/pete-rose-en-us,91
/t/minecraft-en-us,91
/t/video-games-en-us,91
/t/phones-allowed-in-schools-en-us,90
/t/chris-brown-en-us,89
/t/let-him-out-of-jail-en-us,89
/t/assisted-suicide,89
/t/disability-en-us,88
/t/pedophiles-en-us,88
/t/cartoon-network-en-us,88
/t/plus-size-travel-en-us,88
/t/kratom-ban-en-us,87
/t/montclair-boonton-line-en-us,87
/t/jesse-watters-en-us,87
/t/no-touch-torture-weapons-en-us,86
/t/therianthropy-en-us,85
/t/bad-ass-en-us,85
/t/free-luigi-mangione-now-en-us,85
/t/conservative-values-en-us,84
/t/bangladesh-en-gb,83
/t/14th-amendment-en-us,83
/t/unblock-a-site-en-us,83
/t/wild-horses,83
/t/capybara-legality-en-us,83
/t/disney-world-en-us,82
/t/miami-dade-county-en-us,82
/t/assassins-creed-shadows-en-us,82
/t/ranked-choice-voting-en-us,81
/t/censorship-en-us,81
/t/soundmap-untradeable-en-us,81
/t/star-wars,81
/t/sbi-agent-suzi-barker-en-us,80
/t/netflix-child-porn-en-us,80
/t/youtube-ban-en-us,80
/t/big-brother-en-us,80
/t/baddies-east-reunion-en-us,80
/t/remove-judge-en-us,79
/t/dogs-7,78
/t/haiti-en-us,78
/t/boycott-youtube-en-us,77
/t/social-security-reform-en-us,76
/t/thomas-the-tank-engine-en-us,76
/t/2024-en-us,76
/t/fast-fashion-en-us,75
/t/bring-back-product-en-us,75
/t/youtube-en-us,75
/t/lgbt-en-us,74
/t/radio-frequency-terrorism-en-us,74
/t/ticketmaster,74
/t/mobile-app-en-us,74
/t/joe-exotic-en-us,74
/t/american-nightmare-en-us,74
/t/shounen-jump-en-us,73
/t/schools-en-us,73
/t/government-budget-and-spending-en-us,73
/t/ukraine-war-en-us,73
/t/impaired-driving-en-us,73
/t/six-of-crows-en-us,73
/t/the-cat-in-the-hat-en-au,72
/t/boycott-fox-news-en-us,72
/t/daddyofive-en-us,72
/t/gore-en-us,72
/t/elphaba-orion-doherty-en-gb,72
/t/insulin-prices-en-us,72
/t/jerry-jones-en-us,71
/t/plastic-bag-bans-en-us,71
/t/stop-trump-movement-en-us,71
/t/deborah-lemquist-en-us,71
/t/southwest-airlines-en-us,70
/t/olivers-trace-apartment-in-winston-salem-en-us,70
/t/nuclear-energy,70
/t/glue-traps-en-us,70
/t/smarteacher-inc-en-us,70
/t/findom-en-us,70
/t/my-little-pony-2,70
/t/boycott-beauty-brands-en-us,69
/t/therians-and-furry-aceptens-en-us,69
/t/netflix-en-us,69
/t/chemtrail-en-us,69
/t/school-lunch,69
/t/stop-animal-testing-en-us,69
/t/backyard-chickens-en-us,69
/t/club-penguin-en-us,69
/t/halloween-day-off-en-us,69
/t/shiba-inu-coin-en-us,69
/t/wildlife-biodiversity-en-us,68
/t/galactic-federation-of-worlds-en-us,68
/t/minimum-wage-increase-en-us,68
/t/candace-owens-en-au,68
/t/harry-potter-en-us,67
/t/texas-en-us,67
/t/wade-wilson-en-us,67
/t/make-america-great-again-en-us,67
/t/the-loud-house-en-us,67
/t/basketball,67
/t/nick-jr-en-us,67
/t/debbie-the-pet-lady-on-tiktok-en-us,67
/t/public-health-en-us,67
/t/general-election-en-gb,67
/t/tv-movies,67
/t/raising-canes-en-us,66
/t/glyphosate-en-us,66
/t/art-the-clown-en-us,66
/t/bring-back-show-en-us,65
/t/adam-schiff-en-us,65
/t/dead-furries-en-us,65
/t/equestria-girls-en-us,65
/t/ilhan-omar-en-us,65
/t/bloodborne-en-us,65
/t/gaming-9,65
/t/bring-sobe-drinks-back-en-us,65
/t/cults-en-us,65
/t/child-abuse-protection-en-us,65
/t/help-wren-en-us,64
/t/congress-term-limits-en-us,64
/t/anime-midwest-en-us,64
/t/domestic-violence-en-us,64
/t/tulsi-gabbard-en-us,64
/t/elon-musk-step-down-en-us,64
/t/prageru-en-us,64
/t/wrongful-convictions,64
/t/streaming-services-en-us,64
/t/skatepark-en-us,63
/t/auto-insurance-petition-en-us,63
/t/racism-en-us,63
/t/therian-en-us,63
/t/fortnite-skin-en-us,63
/t/twitter-shutting-down-en-us,63
/t/child-sex-abuse-en-us,63
/t/san-francisco-en-us,62
/t/elonmusk-en-us,62
/t/baddies-east-en-us,62
/t/south-grove-golf-closing-en-us,62
/t/whistleblower-retaliation-en-us,62
/t/bring-back-en-us,62
/t/monster-high-en-us,62
/t/the-sims-en-us,61
/t/sharks-5,61
/t/disney-channel-en-us,61
/t/gilbert-gottfried-en-us,61
/t/public-nudity-en-us,61
/t/mexico-en-gb,61
/t/illegal-immigration,61
/t/eugenia-cooney-en-us,61
/t/fourteenth-amendment-en-us,60
/t/karabakh-tr-tr,60
